#     time [s]         x [m]         y [m]      vx [m/s]       vy [ms]
  0.000000e+00  0.000000e+00  0.000000e+00  5.452553e+00  3.092296e+01
  1.000000e-01  5.452553e-01  3.043246e+00  5.452553e+00  2.994196e+01
  2.000000e-01  1.090511e+00  5.988393e+00  5.452553e+00  2.896096e+01
  3.000000e-01  1.635766e+00  8.835439e+00  5.452553e+00  2.797996e+01
  4.000000e-01  2.181021e+00  1.158439e+01  5.452553e+00  2.699896e+01
  5.000000e-01  2.726276e+00  1.423523e+01  5.452553e+00  2.601796e+01
  6.000000e-01  3.271532e+00  1.678798e+01  5.452553e+00  2.503696e+01
  7.000000e-01  3.816787e+00  1.924262e+01  5.452553e+00  2.405596e+01
  8.000000e-01  4.362042e+00  2.159917e+01  5.452553e+00  2.307496e+01
  9.000000e-01  4.907298e+00  2.385762e+01  5.452553e+00  2.209396e+01
  1.000000e+00  5.452553e+00  2.601796e+01  5.452553e+00  2.111296e+01
  1.100000e+00  5.997808e+00  2.808021e+01  5.452553e+00  2.013196e+01
  1.200000e+00  6.543063e+00  3.004436e+01  5.452553e+00  1.915096e+01
  1.300000e+00  7.088319e+00  3.191040e+01  5.452553e+00  1.816996e+01
  1.400000e+00  7.633574e+00  3.367835e+01  5.452553e+00  1.718896e+01
  1.500000e+00  8.178829e+00  3.534820e+01  5.452553e+00  1.620796e+01
  1.600000e+00  8.724084e+00  3.691994e+01  5.452553e+00  1.522696e+01
  1.700000e+00  9.269340e+00  3.839359e+01  5.452553e+00  1.424596e+01
  1.800000e+00  9.814595e+00  3.976913e+01  5.452553e+00  1.326496e+01
  1.900000e+00  1.035985e+01  4.104658e+01  5.452553e+00  1.228396e+01
  2.000000e+00  1.090511e+01  4.222593e+01  5.452553e+00  1.130296e+01
  2.100000e+00  1.145036e+01  4.330717e+01  5.452553e+00  1.032196e+01
  2.200000e+00  1.199562e+01  4.429032e+01  5.452553e+00  9.340963e+00
  2.300000e+00  1.254087e+01  4.517537e+01  5.452553e+00  8.359963e+00
  2.400000e+00  1.308613e+01  4.596231e+01  5.452553e+00  7.378963e+00
  2.500000e+00  1.363138e+01  4.665116e+01  5.452553e+00  6.397963e+00
  2.600000e+00  1.417664e+01  4.724190e+01  5.452553e+00  5.416963e+00
  2.700000e+00  1.472189e+01  4.773455e+01  5.452553e+00  4.435963e+00
  2.800000e+00  1.526715e+01  4.812910e+01  5.452553e+00  3.454963e+00
  2.900000e+00  1.581240e+01  4.842554e+01  5.452553e+00  2.473963e+00
  3.000000e+00  1.635766e+01  4.862389e+01  5.452553e+00  1.492963e+00
  3.100000e+00  1.690291e+01  4.872414e+01  5.452553e+00  5.119634e-01
  3.200000e+00  1.744817e+01  4.872628e+01  5.452553e+00  -4.690366e-01
  3.300000e+00  1.799342e+01  4.863033e+01  5.452553e+00  -1.450037e+00
  3.400000e+00  1.853868e+01  4.843628e+01  5.452553e+00  -2.431037e+00
  3.500000e+00  1.908393e+01  4.814412e+01  5.452553e+00  -3.412037e+00
  3.600000e+00  1.962919e+01  4.775387e+01  5.452553e+00  -4.393037e+00
  3.700000e+00  2.017445e+01  4.726551e+01  5.452553e+00  -5.374037e+00
  3.800000e+00  2.071970e+01  4.667906e+01  5.452553e+00  -6.355037e+00
  3.900000e+00  2.126496e+01  4.599451e+01  5.452553e+00  -7.336037e+00
  4.000000e+00  2.181021e+01  4.521185e+01  5.452553e+00  -8.317037e+00
  4.100000e+00  2.235547e+01  4.433110e+01  5.452553e+00  -9.298037e+00
  4.200000e+00  2.290072e+01  4.335225e+01  5.452553e+00  -1.027904e+01
  4.300000e+00  2.344598e+01  4.227529e+01  5.452553e+00  -1.126004e+01
  4.400000e+00  2.399123e+01  4.110024e+01  5.452553e+00  -1.224104e+01
  4.500000e+00  2.453649e+01  3.982709e+01  5.452553e+00  -1.322204e+01
  4.600000e+00  2.508174e+01  3.845583e+01  5.452553e+00  -1.420304e+01
  4.700000e+00  2.562700e+01  3.698648e+01  5.452553e+00  -1.518404e+01
  4.800000e+00  2.617225e+01  3.541902e+01  5.452553e+00  -1.616504e+01
  4.900000e+00  2.671751e+01  3.375347e+01  5.452553e+00  -1.714604e+01
  5.000000e+00  2.726276e+01  3.198982e+01  5.452553e+00  -1.812704e+01
  5.100000e+00  2.780802e+01  3.012806e+01  5.452553e+00  -1.910804e+01
  5.200000e+00  2.835327e+01  2.816821e+01  5.452553e+00  -2.008904e+01
  5.300000e+00  2.889853e+01  2.611026e+01  5.452553e+00  -2.107004e+01
  5.400000e+00  2.944379e+01  2.395420e+01  5.452553e+00  -2.205104e+01
  5.500000e+00  2.998904e+01  2.170005e+01  5.452553e+00  -2.303204e+01
  5.600000e+00  3.053430e+01  1.934780e+01  5.452553e+00  -2.401304e+01
  5.700000e+00  3.107955e+01  1.689744e+01  5.452553e+00  -2.499404e+01
  5.800000e+00  3.162481e+01  1.434899e+01  5.452553e+00  -2.597504e+01
  5.900000e+00  3.217006e+01  1.170243e+01  5.452553e+00  -2.695604e+01
  6.000000e+00  3.271532e+01  8.957781e+00  5.452553e+00  -2.793704e+01
  6.100000e+00  3.326057e+01  6.115027e+00  5.452553e+00  -2.891804e+01
  6.200000e+00  3.380583e+01  3.174173e+00  5.452553e+00  -2.989904e+01
  6.300000e+00  3.435108e+01  1.352197e-01  5.452553e+00  -3.088004e+01
  6.304376e+00  3.437494e+01  0.000000e+00  5.452553e+00  -3.092296e+01
