#     time [s]         x [m]         y [m]      vx [m/s]       vy [ms]    ax [m/s*s]    ay [m/s*s]
  1.000000e-01  9.990000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  2.000000e-01  9.980000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  3.000000e-01  9.970000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  4.000000e-01  9.960000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  5.000000e-01  9.950000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  6.000000e-01  9.940000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  7.000000e-01  9.930000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  8.000000e-01  9.920000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  9.000000e-01  9.910000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.000000e+00  9.900000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.100000e+00  9.890000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.200000e+00  9.880000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.300000e+00  9.870000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.400000e+00  9.860000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.500000e+00  9.850000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.600000e+00  9.840000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.700000e+00  9.830000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.800000e+00  9.820000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.900000e+00  9.810000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  2.000000e+00  9.800000e+01  0.000000e+00  -1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
