#     time [s]         x [m]         y [m]      vx [m/s]       vy [ms]    ax [m/s*s]    ay [m/s*s]
  1.000000e-01  5.010000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  2.000000e-01  5.020000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  3.000000e-01  5.030000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  4.000000e-01  5.040000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  5.000000e-01  5.050000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  6.000000e-01  5.060000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  7.000000e-01  5.070000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  8.000000e-01  5.080000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  9.000000e-01  5.090000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.000000e+00  5.100000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.100000e+00  5.110000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.200000e+00  5.120000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.300000e+00  5.130000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.400000e+00  5.140000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.500000e+00  5.150000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.600000e+00  5.160000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.700000e+00  5.170000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.800000e+00  5.180000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.900000e+00  5.190000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  2.000000e+00  5.200000e+01  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
